%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
vary	156770 4	alpha,lo,a0,l5,b1,s0,S0,w1
considerably	156775 12	alpha,lo,a0,lN,b1,s0,S0,w1
in	156788 2	stop,lo,a0,l3,b1,s0,S0,w1
size	156791 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	156795 1	$.,*,a0,l0,b0,s0,S1,w1
*	156796 1	$~,*,a0,l0,b0,s0,S0,w1
Like	156799 4	alpha,up,a0,l5,b1,s0,S0,w1
all	156804 3	stop,lo,a0,l3,b1,s0,S0,w1
the	156808 3	stop,lo,a0,l3,b1,s0,S0,w1
true	156812 4	alpha,lo,a0,l5,b1,s0,S0,w1
Finches	156817 7	alpha,up,a0,lN,b1,s0,S0,w1
the	156825 3	stop,lo,a0,l3,b1,s0,S0,w1
hen	156829 3	alpha,lo,a0,l3,b1,s0,S0,w1
bird	156833 4	alpha,lo,a0,l5,b1,s0,S0,w1
builds	156838 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	156845 3	stop,lo,a0,l3,b1,s0,S0,w1
first	156849 5	alpha,lo,a0,l5,b1,s0,S0,w1
nest	156855 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	156860 3	stop,lo,a0,l3,b1,s0,S0,w1
incubates	156864 9	alpha,lo,a0,lN,b1,s0,S0,w1
alone	156874 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	156879 1	$,,*,a0,l0,b0,s0,S0,w1
although	156881 8	alpha,lo,a0,lN,b1,s0,S0,w1
the	156890 3	stop,lo,a0,l3,b1,s0,S0,w1
male	156894 4	alpha,lo,a0,l5,b1,s0,S0,w1
as	156899 2	stop,lo,a0,l3,b1,s0,S0,w1
usual	156902 5	alpha,lo,a0,l5,b1,s0,S0,w1
tries	156908 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	156914 2	stop,lo,a0,l3,b1,s0,S0,w1
help	156917 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	156922 3	stop,lo,a0,l3,b1,s0,S0,w1
only	156926 4	stop,lo,a0,l5,b1,s0,S0,w1
succeeds	156931 8	alpha,lo,a0,lN,b1,s0,S0,w1
in	156940 2	stop,lo,a0,l3,b1,s0,S0,w1
hindering	156943 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	156953 1	stop,cap,a0,l3,b1,s0,S0,w1
whether	156955 7	alpha,lo,a0,lN,b1,s0,S0,w1
he	156963 2	stop,lo,a0,l3,b1,s0,S0,w1
works	156966 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	156972 2	stop,lo,a0,l3,b1,s0,S0,w1
earnest	156975 7	alpha,lo,a0,lN,b1,s0,S0,w1
at	156983 2	stop,lo,a0,l3,b1,s0,S0,w1
the	156986 3	stop,lo,a0,l3,b1,s0,S0,w1
second	156990 6	alpha,lo,a0,lN,b1,s0,S0,w1
nest	156997 4	alpha,lo,a0,l5,b1,s0,S0,w1
I	157002 1	stop,cap,a0,l1,b1,s0,S0,w1
do	157004 2	stop,lo,a0,l3,b1,s0,S0,w1
not	157007 3	stop,lo,a0,l3,b1,s0,S0,w1
know	157011 4	alpha,lo,a0,l5,b1,s0,S0,w1
:	157016 1	$:,*,a0,l0,b1,s1,S0,w1
but	157018 3	stop,lo,a0,l3,b1,s0,S0,w1
,	157021 1	$,,*,a0,l0,b0,s0,S0,w1
from	157023 4	stop,lo,a0,l5,b1,s0,S0,w1
his	157028 3	stop,lo,a0,l3,b1,s0,S0,w1
close	157032 5	alpha,lo,a0,l5,b1,s0,S0,w1
relationship	157038 12	alpha,lo,a0,lN,b1,s0,S0,w1
to	157051 2	stop,lo,a0,l3,b1,s0,S0,w1
the	157054 3	stop,lo,a0,l3,b1,s0,S0,w1
Goldfinch	157058 9	alpha,up,a0,lN,b1,s0,S0,w1
,	157067 1	$,,*,a0,l0,b0,s0,S0,w1
he	157069 2	stop,lo,a0,l3,b1,s0,S0,w1
should	157072 6	stop,lo,a0,lN,b1,s0,S0,w1
be	157079 2	stop,lo,a0,l3,b1,s0,S0,w1
capable	157082 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	157090 2	stop,lo,a0,l3,b1,s0,S0,w1
doing	157093 5	stop,lo,a0,l5,b1,s0,S0,w1
so	157099 2	stop,lo,a0,l3,b1,s0,S0,w1
.	157101 1	$.,*,a0,l0,b0,s0,S1,w1

The	157104 3	stop,up,a0,l3,b1,s1,S0,w1
Siskin	157108 6	alpha,up,a0,lN,b1,s0,S0,w1
feeds	157115 5	alpha,lo,a0,l5,b1,s0,S0,w1
largely	157121 7	alpha,lo,a0,lN,b1,s0,S0,w1
on	157129 2	stop,lo,a0,l3,b1,s0,S0,w1
seeds	157132 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	157138 2	stop,lo,a0,l3,b1,s0,S0,w1
weeds	157141 5	alpha,lo,a0,l5,b1,s0,S0,w1
and	157147 3	stop,lo,a0,l3,b1,s0,S0,w1
beech-mast	157151 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
;	157162 1	stop,lo,a0,l5,b0,s0,S0,w1
but	157164 3	stop,lo,a0,l3,b1,s0,S0,w1
during	157168 6	stop,lo,a0,lN,b1,s0,S0,w1
the	157175 3	stop,lo,a0,l3,b1,s0,S0,w1
breeding	157179 8	alpha,lo,a0,lN,b1,s0,S0,w1
season	157188 6	alpha,lo,a0,lN,b1,s0,S0,w1
it	157195 2	stop,lo,a0,l3,b1,s0,S0,w1
eats	157198 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	157203 1	stop,lo,a0,l1,b1,s0,S0,w1
considerable	157205 12	alpha,lo,a0,lN,b1,s0,S0,w1
number	157218 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	157225 2	stop,lo,a0,l3,b1,s0,S0,w1
aphides	157228 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	157235 1	$,,*,a0,l0,b0,s0,S0,w1
and	157237 3	stop,lo,a0,l3,b1,s0,S0,w1
probably	157241 8	alpha,lo,a0,lN,b1,s0,S0,w1
small	157250 5	alpha,lo,a0,l5,b1,s0,S0,w1
green	157256 5	alpha,lo,a0,l5,b1,s0,S0,w1
caterpillars	157262 12	alpha,lo,a0,lN,b1,s0,S0,w1
,	157274 1	$,,*,a0,l0,b0,s0,S0,w1
milky	157276 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	157281 1	$,,*,a0,l0,b0,s0,S0,w1
unripe	157283 6	alpha,lo,a0,lN,b1,s0,S0,w1
seeds	157290 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	157296 2	stop,lo,a0,l3,b1,s0,S0,w1
groundsel	157299 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	157308 1	$,,*,a0,l0,b0,s0,S0,w1
sow-thistle	157310 11	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
,	157321 1	$,,*,a0,l0,b0,s0,S0,w1
and	157323 3	stop,lo,a0,l3,b1,s0,S0,w1
similar	157327 7	alpha,lo,a0,lN,b1,s0,S0,w1
weeds	157335 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	157341 1	stop,up,a0,lN,b1,s0,S0,w1
whilst	157343 6	alpha,lo,a0,lN,b1,s0,S0,w1
at	157350 2	stop,lo,a0,l3,b1,s0,S0,w1
all	157353 3	stop,lo,a0,l3,b1,s0,S0,w1
seasons	157357 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	157364 1	$,,*,a0,l0,b0,s0,S0,w1
it	157366 2	stop,lo,a0,l3,b1,s0,S0,w1
is	157369 2	stop,lo,a0,l3,b1,s0,S0,w1
as	157372 2	stop,lo,a0,l3,b1,s0,S0,w1
mischievous	157375 11	alpha,lo,a0,lN,b1,s0,S0,w1
as	157387 2	stop,lo,a0,l3,b1,s0,S0,w1
a	157390 1	stop,lo,a0,l1,b1,s0,S0,w1
Tit	157392 3	alpha,up,a0,l3,b1,s0,S0,w1
in	157396 2	stop,lo,a0,l3,b1,s0,S0,w1
destroying	157399 10	alpha,lo,a0,lN,b1,s0,S0,w1
tender	157410 6	alpha,lo,a0,lN,b1,s0,S0,w1
buds	157417 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	157421 1	$.,*,a0,l0,b0,s0,S1,w1

In	157423 2	stop,up,a0,l3,b1,s1,S0,w1
captivit	157426 8	alpha,lo,a0,lN,b1,s0,S0,w1
}'	157434 2	$),*,a0,l0,b0,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
it	157437 2	stop,lo,a0,l3,b1,s0,S0,w1
eats	157440 4	alpha,lo,a0,l5,b1,s0,S0,w1
the	157445 3	stop,lo,a0,l3,b1,s0,S0,w1
usual	157449 5	alpha,lo,a0,l5,b1,s0,S0,w1
seeds	157455 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	157460 1	$,,*,a0,l0,b0,s0,S0,w1
being	157462 5	stop,lo,a0,l5,b1,s0,S0,w1
especially	157468 10	alpha,lo,a0,lN,b1,s0,S0,w1
fond	157479 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	157484 2	stop,lo,a0,l3,b1,s0,S0,w1
hemp	157487 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	157492 3	stop,lo,a0,l3,b1,s0,S0,w1
teasel	157496 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	157502 1	$,,*,a0,l0,b0,s0,S0,w1
also	157504 4	alpha,lo,a0,l5,b1,s0,S0,w1
soft	157509 4	alpha,lo,a0,l5,b1,s0,S0,w1
food	157514 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	157518 1	$,,*,a0,l0,b0,s0,S0,w1
green	157520 5	alpha,lo,a0,l5,b1,s0,S0,w1
food	157526 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	157530 1	$,,*,a0,l0,b0,s0,S0,w1
and	157532 3	stop,lo,a0,l3,b1,s0,S0,w1
(	157536 1	$(,*,a0,l0,b1,s0,S0,w1
although	157537 8	alpha,lo,a0,lN,b0,s0,S0,w1
I	157546 1	stop,cap,a0,l1,b1,s0,S0,w1
do	157548 2	stop,lo,a0,l3,b1,s0,S0,w1
not	157551 3	stop,lo,a0,l3,b1,s0,S0,w1
approve	157555 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	157563 2	stop,lo,a0,l3,b1,s0,S0,w1
such	157566 4	stop,lo,a0,l5,b1,s0,S0,w1
food	157571 4	alpha,lo,a0,l5,b1,s0,S0,w1
)	157575 1	$),*,a0,l0,b0,s0,S0,w1
it	157577 2	stop,lo,a0,l3,b1,s0,S0,w1
is	157580 2	stop,lo,a0,l3,b1,s0,S0,w1
as	157583 2	stop,lo,a0,l3,b1,s0,S0,w1
fond	157586 4	alpha,lo,a0,l5,b1,s0,S0,w1
as	157591 2	stop,lo,a0,l3,b1,s0,S0,w1
the	157594 3	stop,lo,a0,l3,b1,s0,S0,w1
Goldfinch	157598 9	alpha,up,a0,lN,b1,s0,S0,w1
and	157608 3	stop,lo,a0,l3,b1,s0,S0,w1
the	157612 3	stop,lo,a0,l3,b1,s0,S0,w1
whole	157616 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	157622 2	stop,lo,a0,l3,b1,s0,S0,w1
the	157625 3	stop,lo,a0,l3,b1,s0,S0,w1
Tits	157629 4	alpha,up,a0,l5,b1,s0,S0,w1
of	157634 2	stop,lo,a0,l3,b1,s0,S0,w1
picking	157637 7	alpha,lo,a0,lN,b1,s0,S0,w1
a	157645 1	stop,lo,a0,l1,b1,s0,S0,w1
bone	157647 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	157651 1	$,,*,a0,l0,b0,s0,S0,w1
clinging	157653 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	157662 2	stop,lo,a0,l3,b1,s0,S0,w1
it	157665 2	stop,lo,a0,l3,b1,s0,S0,w1
in	157668 2	stop,lo,a0,l3,b1,s0,S0,w1
all	157671 3	stop,lo,a0,l3,b1,s0,S0,w1
positions	157675 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	157684 1	$,,*,a0,l0,b0,s0,S0,w1
and	157686 3	stop,lo,a0,l3,b1,s0,S0,w1
behaving	157690 8	alpha,lo,a0,lN,b1,s0,S0,w1
in	157699 2	stop,lo,a0,l3,b1,s0,S0,w1
every	157702 5	alpha,lo,a0,l5,b1,s0,S0,w1
respect	157708 7	alpha,lo,a0,lN,b1,s0,S0,w1
exactly	157716 7	alpha,lo,a0,lN,b1,s0,S0,w1
like	157724 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	157729 1	stop,lo,a0,l1,b1,s0,S0,w1
Tit	157731 3	alpha,up,a0,l3,b1,s0,S0,w1
.	157734 1	$.,*,a0,l0,b0,s0,S1,w1

The	157736 3	stop,up,a0,l3,b1,s1,S0,w1
Siskin	157740 6	alpha,up,a0,lN,b1,s0,S0,w1
is	157747 2	stop,lo,a0,l3,b1,s0,S0,w1
one	157750 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	157754 2	stop,lo,a0,l3,b1,s0,S0,w1
the	157757 3	stop,lo,a0,l3,b1,s0,S0,w1
most	157761 4	stop,lo,a0,l5,b1,s0,S0,w1
charming	157766 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	157775 2	stop,lo,a0,l3,b1,s0,S0,w1
all	157778 3	stop,lo,a0,l3,b1,s0,S0,w1
aviary	157782 6	alpha,lo,a0,lN,b1,s0,S0,w1
birds	157789 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	157794 1	$,,*,a0,l0,b0,s0,S0,w1
on	157796 2	stop,lo,a0,l3,b1,s0,S0,w1
account	157799 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	157807 2	stop,lo,a0,l3,b1,s0,S0,w1
its	157810 3	stop,lo,a0,l3,b1,s0,S0,w1
wonderfull	157814 10	alpha,lo,a0,lN,b1,s0,S0,w1
}	157824 1	$),*,a0,l0,b0,s0,S0,w1
'	157825 1	$',*,a0,l0,b0,s0,S0,w1
confiding	157827 9	alpha,lo,a0,lN,b1,s0,S0,w1
nature	157837 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	157843 1	$.,*,a0,l0,b0,s0,S1,w1

I	157845 1	stop,cap,a0,l1,b1,s1,S0,w1
turned	157847 6	alpha,lo,a0,lN,b1,s0,S0,w1
a	157854 1	stop,lo,a0,l1,b1,s0,S0,w1
pair	157856 4	alpha,lo,a0,l5,b1,s0,S0,w1
which	157861 5	stop,lo,a0,l5,b1,s0,S0,w1
I	157867 1	stop,cap,a0,l1,b1,s0,S0,w1
purchased	157869 9	alpha,lo,a0,lN,b1,s0,S0,w1
in	157879 2	stop,lo,a0,l3,b1,s0,S0,w1
November	157882 8	alpha,up,a0,lN,b1,s0,S0,w1
,	157890 1	$,,*,a0,l0,b0,s0,S0,w1
1889	157892 4	num,*,a0,l5,b1,s0,S0,w1
,	157896 1	$,,*,a0,l0,b0,s0,S0,w1
about	157898 5	stop,lo,a0,l5,b1,s0,S0,w1
three	157904 5	alpha,lo,a0,l5,b1,s0,S0,w1
weeks	157910 5	alpha,lo,a0,l5,b1,s0,S0,w1
after	157916 5	stop,lo,a0,l5,b1,s0,S0,w1
their	157922 5	stop,lo,a0,l5,b1,s0,S0,w1
capture	157928 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	157935 1	$,,*,a0,l0,b0,s0,S0,w1
into	157937 4	stop,lo,a0,l5,b1,s0,S0,w1
a	157942 1	stop,lo,a0,l1,b1,s0,S0,w1
large	157944 5	alpha,lo,a0,l5,b1,s0,S0,w1
aviar	157950 5	alpha,lo,a0,l5,b1,s0,S0,w1
}'	157955 2	$),*,a0,l0,b0,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
;	157958 1	stop,lo,a0,l5,b0,s0,S0,w1
and	157960 3	stop,lo,a0,l3,b1,s0,S0,w1
,	157963 1	$,,*,a0,l0,b0,s0,S0,w1
in	157965 2	stop,lo,a0,l3,b1,s0,S0,w1
three	157968 5	alpha,lo,a0,l5,b1,s0,S0,w1
daj-s	157974 5	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 stop,lo,a0,l1,b0,s0,S0,w0
,	157979 1	$,,*,a0,l0,b0,s0,S0,w1
they	157981 4	stop,lo,a0,l5,b1,s0,S0,w1
had	157986 3	stop,lo,a0,l3,b1,s0,S0,w1
so	157990 2	stop,lo,a0,l3,b1,s0,S0,w1
thoroughl	157993 9	alpha,lo,a0,lN,b1,s0,S0,w1
}-	158002 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
learned	158005 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	158013 2	stop,lo,a0,l3,b1,s0,S0,w1
trust	158016 5	alpha,lo,a0,l5,b1,s0,S0,w1
me	158022 2	stop,lo,a0,l3,b1,s0,S0,w1
,	158024 1	$,,*,a0,l0,b0,s0,S0,w1
that	158026 4	stop,lo,a0,l5,b1,s0,S0,w1
they	158031 4	stop,lo,a0,l5,b1,s0,S0,w1
flew	158036 4	alpha,lo,a0,l5,b1,s0,S0,w1
into	158041 4	stop,lo,a0,l5,b1,s0,S0,w1
my	158046 2	stop,lo,a0,l3,b1,s0,S0,w1
hand	158049 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	158054 3	stop,lo,a0,l3,b1,s0,S0,w1
disputed	158058 8	alpha,lo,a0,lN,b1,s0,S0,w1
over	158067 4	stop,lo,a0,l5,b1,s0,S0,w1
poppy-seed	158072 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
and	158083 3	stop,lo,a0,l3,b1,s0,S0,w1
egg	158087 3	alpha,lo,a0,l3,b1,s0,S0,w1
;	158091 1	stop,up,a0,l5,b1,s0,S0,w1
one	158093 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	158097 2	stop,lo,a0,l3,b1,s0,S0,w1
these	158100 5	stop,lo,a0,l5,b1,s0,S0,w1
birds	158106 5	alpha,lo,a0,l5,b1,s0,S0,w1
lived	158112 5	alpha,lo,a0,l5,b1,s0,S0,w1
fox-	158118 4	alpha,lo,a0,l3,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
three	158123 5	alpha,lo,a0,l5,b1,s0,S0,w1
years	158129 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	158134 1	$,,*,a0,l0,b0,s0,S0,w1
and	158136 3	stop,lo,a0,l3,b1,s0,S0,w1
would	158140 5	alpha,lo,a0,l5,b1,s0,S0,w1
even	158146 4	alpha,lo,a0,l5,b1,s0,S0,w1
permit	158151 6	alpha,lo,a0,lN,b1,s0,S0,w1
me	158158 2	stop,lo,a0,l3,b1,s0,S0,w1
to	158161 2	stop,lo,a0,l3,b1,s0,S0,w1
raise	158164 5	alpha,lo,a0,l5,b1,s0,S0,w1
my	158170 2	stop,lo,a0,l3,b1,s0,S0,w1
hand	158173 4	alpha,lo,a0,l5,b1,s0,S0,w1
until	158178 5	stop,lo,a0,l5,b1,s0,S0,w1
my	158184 2	stop,lo,a0,l3,b1,s0,S0,w1
nose	158187 4	alpha,lo,a0,l5,b1,s0,S0,w1
touched	158192 7	alpha,lo,a0,lN,b1,s0,S0,w1
her	158200 3	stop,lo,a0,l3,b1,s0,S0,w1
beak	158204 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	158208 1	$,,*,a0,l0,b0,s0,S0,w1
when	158210 4	stop,lo,a0,l5,b1,s0,S0,w1
she	158215 3	stop,lo,a0,l3,b1,s0,S0,w1
would	158219 5	alpha,lo,a0,l5,b1,s0,S0,w1
fl	158225 2	alpha,lo,a0,l3,b1,s0,S0,w1
}	158227 1	$),*,a0,l0,b0,s0,S0,w1
'	158228 1	$',*,a0,l0,b0,s0,S0,w1
off	158230 3	stop,lo,a0,l3,b1,s0,S0,w1
to	158234 2	stop,lo,a0,l3,b1,s0,S0,w1
a	158237 1	stop,lo,a0,l1,b1,s0,S0,w1
twig	158239 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	158243 1	$,,*,a0,l0,b0,s0,S0,w1
aud	158245 3	alpha,lo,a0,l3,b1,s0,S0,w1
return	158249 6	alpha,lo,a0,lN,b1,s0,S0,w1
directl	158256 7	alpha,lo,a0,lN,b1,s0,S0,w1
}	158263 1	$),*,a0,l0,b0,s0,S0,w1
'	158264 1	$',*,a0,l0,b0,s0,S0,w1
I	158266 1	stop,cap,a0,l1,b1,s0,S0,w1
held	158268 4	alpha,lo,a0,l5,b1,s0,S0,w1
my	158273 2	stop,lo,a0,l3,b1,s0,S0,w1
hand	158276 4	alpha,lo,a0,l5,b1,s0,S0,w1
out	158281 3	stop,lo,a0,l3,b1,s0,S0,w1
to	158285 2	stop,lo,a0,l3,b1,s0,S0,w1
her	158288 3	stop,lo,a0,l3,b1,s0,S0,w1
again	158292 5	stop,lo,a0,l5,b1,s0,S0,w1
;	158298 1	stop,cap,a0,l3,b1,s0,S0,w1
there	158300 5	stop,lo,a0,l5,b1,s0,S0,w1
were	158306 4	stop,lo,a0,l5,b1,s0,S0,w1
two	158311 3	alpha,lo,a0,l3,b1,s0,S0,w1
hens	158315 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	158320 3	stop,lo,a0,l3,b1,s0,S0,w1
a	158324 1	stop,lo,a0,l1,b1,s0,S0,w1
cock	158326 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	158331 2	stop,lo,a0,l3,b1,s0,S0,w1
this	158334 4	stop,lo,a0,l5,b1,s0,S0,w1
trio	158339 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	158343 1	$,,*,a0,l0,b0,s0,S0,w1
and	158345 3	stop,lo,a0,l3,b1,s0,S0,w1
the	158349 3	stop,lo,a0,l3,b1,s0,S0,w1
male	158353 4	alpha,lo,a0,l5,b1,s0,S0,w1
outlived	158358 8	alpha,lo,a0,lN,b1,s0,S0,w1
both	158367 4	stop,lo,a0,l5,b1,s0,S0,w1
of	158372 2	stop,lo,a0,l3,b1,s0,S0,w1
his	158375 3	stop,lo,a0,l3,b1,s0,S0,w1
wives	158379 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	158385 1	stop,up,a0,l5,b1,s0,S0,w1
finall	158387 6	alpha,lo,a0,lN,b1,s0,S0,w1
}-	158393 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
he	158396 2	stop,lo,a0,l3,b1,s0,S0,w1
appeared	158399 8	alpha,lo,a0,lN,b1,s0,S0,w1
to	158408 2	stop,lo,a0,l3,b1,s0,S0,w1
have	158411 4	stop,lo,a0,l5,b1,s0,S0,w1
acquired	158416 8	alpha,lo,a0,lN,b1,s0,S0,w1
a	158425 1	stop,lo,a0,l1,b1,s0,S0,w1
growth	158427 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	158434 2	stop,lo,a0,l3,b1,s0,S0,w1
his	158437 3	stop,lo,a0,l3,b1,s0,S0,w1
throat	158441 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	158447 1	$,,*,a0,l0,b0,s0,S0,w1
which	158449 5	stop,lo,a0,l5,b1,s0,S0,w1
obstructed	158455 10	alpha,lo,a0,lN,b1,s0,S0,w1
his	158466 3	stop,lo,a0,l3,b1,s0,S0,w1
breathing	158470 9	alpha,lo,a0,lN,b1,s0,S0,w1
;	158479 1	$;,*,a0,l0,b0,s0,S0,w1
therefore	158481 11	alpha,lo,a0,lN,b1,s0,S0,w1
as	158493 2	stop,lo,a0,l3,b1,s0,S0,w1
my	158496 2	stop,lo,a0,l3,b1,s0,S0,w1
experience	158499 10	alpha,lo,a0,lN,b1,s0,S0,w1
of	158510 2	stop,lo,a0,l3,b1,s0,S0,w1
doctoring	158513 9	alpha,lo,a0,lN,b1,s0,S0,w1
birds	158523 5	alpha,lo,a0,l5,b1,s0,S0,w1
is	158529 2	stop,lo,a0,l3,b1,s0,S0,w1
,	158531 1	$,,*,a0,l0,b0,s0,S0,w1
that	158533 4	stop,lo,a0,l5,b1,s0,S0,w1
in	158538 2	stop,lo,a0,l3,b1,s0,S0,w1
nineteen	158541 8	alpha,lo,a0,lN,b1,s0,S0,w1
out	158550 3	stop,lo,a0,l3,b1,s0,S0,w1
of	158554 2	stop,lo,a0,l3,b1,s0,S0,w1
twenty	158557 6	alpha,lo,a0,lN,b1,s0,S0,w1
cases	158564 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	158570 2	stop,lo,a0,l3,b1,s0,S0,w1
kills	158573 5	alpha,lo,a0,l5,b1,s0,S0,w1
them	158579 4	stop,lo,a0,l5,b1,s0,S0,w1
within	158584 6	alpha,lo,a0,lN,b1,s0,S0,w1
ten	158591 3	alpha,lo,a0,l3,b1,s0,S0,w1
minutes	158595 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	158602 1	$,,*,a0,l0,b0,s0,S0,w1
I	158604 1	stop,cap,a0,l1,b1,s0,S0,w1
thought	158606 7	alpha,lo,a0,lN,b1,s0,S0,w1
I	158614 1	stop,cap,a0,l1,b1,s0,S0,w1
would	158616 5	alpha,lo,a0,l5,b1,s0,S0,w1
give	158622 4	alpha,lo,a0,l5,b1,s0,S0,w1
my	158627 2	stop,lo,a0,l3,b1,s0,S0,w1
Siskin	158630 6	alpha,up,a0,lN,b1,s0,S0,w1
the	158637 3	stop,lo,a0,l3,b1,s0,S0,w1
opportunity	158641 13	alpha,lo,a0,lN,b1,s0,S0,w1
of	158655 2	stop,lo,a0,l3,b1,s0,S0,w1
doctoring	158658 9	alpha,lo,a0,lN,b1,s0,S0,w1
himself	158668 7	stop,lo,a0,lN,b1,s0,S0,w1
;	158675 1	$;,*,a0,l0,b0,s0,S0,w1
so	158677 2	stop,lo,a0,l3,b1,s0,S0,w1
I	158680 1	stop,cap,a0,l1,b1,s0,S0,w1
turned	158682 6	alpha,lo,a0,lN,b1,s0,S0,w1
him	158689 3	stop,lo,a0,l3,b1,s0,S0,w1
loose	158693 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	158699 2	stop,lo,a0,l3,b1,s0,S0,w1
my	158702 2	stop,lo,a0,l3,b1,s0,S0,w1
garden	158705 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	158711 1	$,,*,a0,l0,b0,s0,S0,w1
where	158713 5	stop,lo,a0,l5,b1,s0,S0,w1
he	158719 2	stop,lo,a0,l3,b1,s0,S0,w1
remained	158722 8	alpha,lo,a0,lN,b1,s0,S0,w1
for	158731 3	stop,lo,a0,l3,b1,s0,S0,w1
about	158735 5	stop,lo,a0,l5,b1,s0,S0,w1
an	158741 2	stop,lo,a0,l3,b1,s0,S0,w1
hour	158744 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	158748 1	$,,*,a0,l0,b0,s0,S0,w1
and	158750 3	stop,lo,a0,l3,b1,s0,S0,w1
then	158754 4	stop,lo,a0,l5,b1,s0,S0,w1
flew	158759 4	alpha,lo,a0,l5,b1,s0,S0,w1
straight	158764 8	alpha,lo,a0,lN,b1,s0,S0,w1
awa_v	158773 5	alpha,lo,a0,l3,b1,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0 rom,*,a0,l1,b0,s0,S0,w0
.	158778 1	$.,*,a0,l0,b0,s0,S1,w1

I	158780 1	stop,cap,a0,l1,b1,s1,S0,w1
have	158782 4	stop,lo,a0,l5,b1,s0,S0,w1
had	158787 3	stop,lo,a0,l3,b1,s0,S0,w1
